3009	2655	53
3451	7474	29
3659	7698	5
2506	3100	126
7816	2326	200
1919	525	29
1960	91	29
8261	3990	200
4432	1573	263
3549	5740	309
2888	1192	48
7972	1651	309
3416	7790	29
1373	4665	53
6040	1941	263
875	2073	175
1044	1385	155
98	3693	53
4400	2000	126
1373	1569	177
2546	6730	258
7395	7147	240
1202	1662	259
3266	3908	264
471	6723	78
1765	2019	263
4049	230	53
5422	6285	200
1202	7943	241
7051	4943	6
4569	7830	29
6077	6141	263
2178	2386	126
2888	4991	263
611	6376	301
3009	238	78
3939	4633	29
6141	660	29
5099	4691	263
1164	2844	29
5508	1719	309
2674	7245	3
3377	3267	125
4691	2009	53
3075	3416	263
2888	471	263
2674	7486	177
7681	4366	263
29	2543	263
1077	6	48
3458	6659	117
464	2792	292
2163	3004	192
4012	5839	117
6765	3340	309
3017	7775	48
204	2485	134
1426	5608	236
2424	4290	78
2820	7036	13
2019	4995	29
2290	2444	53
29	3602	125
2903	1884	159
6160	3527	309
5099	1474	219
133	1492	29
3302	7587	187
7626	238	78
4039	5275	207
1121	2499	309
2479	5099	263
4069	2262	177
1424	1402	29
5661	3916	174
6991	7463	54
2542	4649	200
1064	2479	134
2893	3072	200
4417	4855	100
5548	5548	155
4830	2966	309
2543	687	117
2611	1270	291
7816	3659	263
6516	3090	299
6040	6812	159
4227	2428	98
7246	5249	202
1941	1280	263
3940	5205	263
4355	1765	134
2633	6786	177
5363	5840	134
6642	5308	48
4712	7080	200
469	6040	21
2425	3472	177
2019	3556	263
3075	6765	29
8030	1256	263
7070	3096	309
53	3204	22
7765	3075	263
2888	3383	263
3210	2073	200
3556	5631	192
5983	3451	263
4569	3518	29
3377	5950	3
3075	8258	263
84	6799	48
5702	133	309
98	5276	53
1146	1554	29
6881	7838	29
4792	6955	53
5538	701	239
8209	5880	303
728	344	177
4327	2485	263
4917	5950	3
3024	622	263
3940	5531	78
5981	1217	53
2290	3445	201
1171	2820	263
3952	807	20
5227	3517	263
1184	98	263
61	1131	245
7681	4323	263
573	1118	209
3383	5325	29
4808	1377	202
6516	106	299
4650	7612	200
3340	3556	263
1518	4241	29
7694	7444	309
3987	6156	202
2598	6564	200
3090	5142	29
2499	5386	78
6465	7080	200
2465	6730	258
7513	1723	44
4569	662	201
6248	1164	263
5840	2076	262
6081	7148	177
3211	7130	309
4049	5565	29
1960	6933	29
5227	7765	263
1044	1941	263
2191	7105	12
2290	7793	29
2797	2797	155
3517	5893	48
6516	6141	299
3475	2467	177
5227	7140	260
2399	4689	29
4989	1024	309
5244	2781	226
4664	7921	134
4409	7926	260
5205	2958	29
2820	2724	192
3549	3461	268
84	8036	29
1897	113	263
4187	6116	158
98	6077	263
4567	1897	127
5241	3445	201
5351	5423	309
5304	3933	143
1240	2425	177
6516	1361	299
5676	6013	309
2376	1485	309
1353	5256	200
622	2371	268
5099	7415	53
5986	757	177
1184	4227	263
2019	1350	29
1960	7447	29
2888	1220	263
6821	5182	144
2269	6359	177
8258	3276	78
7415	5099	134
113	1164	263
2830	3266	206
3674	2047	192
98	7174	263
4534	4227	263
5849	4123	8
3451	238	78
1858	6799	48
4327	4650	263
4569	4165	48
1587	6031	263
4650	2728	159
106	1595	201
3340	5072	29
1765	7640	98
7063	4247	29
1044	5127	29
6704	1751	29
6465	5981	29
5525	304	301
4046	2611	78
7063	4535	53
3090	979	14
4569	3940	263
7653	5576	8
2820	2754	219
2888	2781	263
5422	664	29
4547	4708	177
2019	6040	263
8262	6972	258
4248	4320	8
352	1368	309
1257	2868	155
2652	3024	263
1298	3573	134
6237	7765	134
4399	3072	200
5099	3939	263
3045	1252	240
4788	3340	134
6008	2598	15
4107	6031	263
5727	2485	173
98	7705	263
4906	4312	202
4941	3839	291
4512	3773	200
3024	2290	263
6819	7621	78
204	6040	134
2888	3517	263
4388	7105	12
5361	7353	276
4366	6382	29
7765	1061	14
351	6723	78
3384	7498	12
5468	8146	155
3659	1971	263
6297	7498	12
4432	98	263
1171	1541	29
2830	3928	174
2425	7030	177
74	7667	145
1361	7498	12
3723	5936	159
6881	5873	29
5983	1291	126
3723	2290	263
5717	3818	202
2506	6909	117
6875	1647	309
5099	1353	78
4567	4409	106
113	790	160
3763	3928	174
4063	4691	263
6955	4792	134
4569	2377	219
971	8143	29
3573	7044	29
485	5386	78
4400	4290	78
3918	2163	134
5361	3914	78
2424	7652	78
4903	2870	294
2019	4650	263
5099	2506	263
4049	7635	29
1184	959	29
2290	7157	263
2893	4387	200
7068	4442	207
1184	1561	12
8132	8259	136
958	3388	309
6541	1831	134
2290	3723	263
5195	5808	130
6436	1731	98
7044	3573	134
98	6469	53
4843	879	126
5857	1468	187
7331	1662	259
5227	8030	78
7921	5840	263
430	856	29
5252	3659	173
687	940	191
4991	6704	309
1150	3646	29
1164	5840	263
1029	4140	207
2888	2598	263
4691	1757	263
6257	245	207
3075	3635	263
5928	3383	298
5063	293	117
2820	1514	78
2425	6512	177
6191	3085	206
1897	8219	98
5233	7093	29
4569	3438	29
5525	7094	280
5764	7683	53
1941	110	263
3289	2215	177
4522	5576	8
7813	4650	202
6662	5823	303
4323	3123	235
3573	6568	263
95	4366	263
6212	234	29
7681	3642	78
2598	3635	263
2990	1905	53
7502	3383	134
5585	5360	14
856	6	48
709	1591	207
1280	335	78
2888	3878	294
3839	2542	202
8273	938	194
4293	4830	309
1373	6078	177
6804	7142	174
1164	4290	78
5361	3369	238
5916	1249	200
7948	7423	177
5227	4917	263
6881	632	98
5233	1849	78
3451	7839	29
3075	7460	160
7670	2703	200
4691	4534	263
430	7652	78
1500	5947	177
3850	7960	227
5695	238	78
2844	1808	309
2485	1361	263
1619	3642	78
30	8132	206
2376	1257	53
4093	5916	174
1601	4782	78
951	3581	22
6041	2615	100
5676	1094	201
3659	5993	266
1146	5864	125
1601	1601	155
5987	6849	149
219	766	303
6516	976	50
8030	95	263
620	6932	309
3675	2163	263
83	3075	134
89	7613	200
98	5361	263
477	1960	134
4196	3659	173
2170	6289	200
1218	5576	8
7314	2880	177
464	6549	112
3693	7297	202
4801	2163	187
5218	4819	48
6465	4462	29
3081	5433	206
7960	7147	240
7157	314	201
4602	8084	23
5477	6240	29
430	3294	29
3723	5628	13
238	6662	239
5468	4650	263
2479	106	263
2019	7621	78
3319	591	90
2324	7244	309
7587	7498	12
3517	3276	78
5227	3591	283
6704	6723	78
221	7463	54
821	6640	200
4650	1094	201
6138	90	44
5727	2952	217
3075	5218	263
2172	4650	263
5227	1880	303
2781	8106	29
442	1897	134
622	7812	29
1765	5386	78
1619	6285	200
1122	813	14
3573	4991	309
2745	3659	173
2290	915	53
6976	1801	145
4569	3674	263
2019	932	84
3024	1960	309
29	29	236
7415	6282	202
7556	6972	258
6704	971	263
6376	6730	258
3662	3800	309
8185	1108	207
6138	4341	49
221	7080	200
1587	3914	78
68	3916	174
2598	698	29
3674	7080	200
3340	7621	78
6436	4179	78
4227	5950	3
1150	7920	29
692	1601	134
5218	4227	263
7816	4567	78
761	248	234
2175	178	200
6657	3376	207
6581	847	309
8080	1553	140
2399	5928	23
7765	3378	29
3024	3649	201
4107	1171	263
5958	3810	227
1424	2849	53
7681	1122	263
219	5768	29
3940	7620	98
7498	7498	236
938	7396	202
534	4906	53
1020	6087	14
2163	6167	266
2820	5386	78
5218	5227	263
6568	4107	263
2191	1837	126
3659	1361	263
2468	2543	226
3129	7895	126
3723	3649	201
3024	3388	29
6321	3624	309
5232	3916	174
464	932	84
2888	2290	263
3075	4232	53
6465	3240	268
3659	860	263
7816	722	263
7268	2989	29
860	4290	78
4917	4691	263
1619	722	263
4691	7921	263
5227	4712	263
1765	7652	78
7612	7080	292
4643	3048	45
7698	932	84
6465	1430	29
1594	1993	291
3517	4156	201
5468	6040	263
5702	4117	29
8030	5229	291
3556	3935	98
2290	1573	263
658	5361	134
1941	2740	94
2582	1601	245
8023	3839	115
5347	2626	207
6031	2019	263
5099	110	263
204	3659	134
6568	4366	263
7972	3453	177
2634	3659	173
6135	7943	19
5468	1831	263
6987	1744	66
5877	5877	155
7681	8030	263
3635	1514	78
1952	2318	48
1941	5386	78
4366	6248	263
5227	6642	263
4277	2542	202
3462	5191	309
7063	806	29
